FISHERY/YEAR,ALB,YFT,SKJ,BET,PBF,TUN,SWO,BUM,MLS,BIL,ALV ,PTH,BTH,SMA,BSH,SKH, TOTAL ,Fishery
2010,862,276,,,88,,,,,,,,,,,,"1,226",Sport
2011,421,324,,,225,,,,,,,,,,,,970,Sport
2012,"1,212",708,,,400,,,,,,,,,,,,"2,320",Sport
2013,839,433,4,,809,,,,,,,,,,,,"2,085",Sport
2014,"1,042",,,,420,,,,,,1,,,,0,,"1,463",Sport
2015,932,,,,399,,,,,,1,,,,0,,"1,331",Sport
2016,675,,,,368,,,,,,2,,,0,0,,"1,045",Sport
2017,372,,,,451,,,,,,1,,,,,,824,Sport
2018,381,,,,513,,,,,,1,,,,,,895,Sport
2019,1364,,,,483,,,,,,1,,,0,0,,"1,848",Sport
2020,260,,,,742,,,,,,,,,,0,,"1,002",Sport
2021,248,,,,1294,,,,,,0,,,,0,,"1,542",Sport
2022,587,,,,1612,,,,,,1,,,,0,,"2,200",Sport
2023,567,,,,2019,,,,,,,,,,0,,"2,586",Sport
2024,865,,,,1385,,,,,,1,,,,1,,"2,252",Sport
1985,118,58,5,1,20,468,104,,,,332,,5,19,1,,"1,131",Other
1986,66,227,,6,41,6,109,,,,93,,14,59,1,,622,Other
1987,139,"2,159",633,1,18,67,31,,,,116,,1,188,1,,"3,354",Other
1988,76,936,372,1,46,2,64,,,,67,,2,214,3,,"1,783",Other
1989,10,849,103,,18,,56,,,,65,,1,137,6,,"1,245",Other
1990,20,508,147,,81,1,43,,,,90,,0,141,20,,"1,051",Other
1991,20,235,137,,0,,44,,,,42,,0,91,1,,570,Other
1992,40,"1,119","1,014",,14,2,47,,,,35,,3,19,1,,"2,294",Other
1993,194,"2,031","2,279",,29,,161,,,,25,,2,32,0,,"4,753",Other
1994,66,3,,,1,,24,,,,37,,4,46,12,,193,Other
1995,4,5,263,,0,,29,,,,34,,1,14,5,,355,Other
1996,10,,,4,0,,15,,,,21,,0,9,0,,59,Other
1997,12,,83,,48,,11,,,,27,0,3,11,0,,195,Other
1998,15,43,,,59,1,19,,,,22,0,0,12,1,,172,Other
1999,61,,,,88,,27,,,,32,1,0,9,0,,218,Other
2000,24,1,,,11,,33,,,,44,0,0,12,0,,125,Other
2001,39,,,,1,,19,,,,40,1,0,10,0,,110,Other
2002,13,27,1,,2,1,3,1,,,30,,,12,0,,90,Other
2003,8,8,2,3,3,,11,,,,21,,0,9,0,,65,Other
2004,3,27,2,132,0,,44,5,,,21,,0,13,0,,247,Other
2005,1,,,,1,,5,,,,11,0,,8,0,,26,Other
2006,0,349,12,,0,,5,,,,24,0,0,7,0,,397,Other
2007,0,0,0,,0,,,,,,20,0,0,6,0,,26,Other
2008,0,2,0,5,0,,19,,,,19,0,0,5,,,50,Other
2009,,7,1,,2,,0,,,,66,0,1,7,1,,85,Other
2010,0,0,,,0,,,,,,55,,0,10,0,,65,Other
2011,0,1,,,100,0,,,,,20,,0,8,0,,130,Other
2012,2,0,0,,38,,1,,,,30,1,,11,0,,84,Other
2013,0,2,1,,3,,7,,,,18,6,0,12,0,,49,Other
2014,,0,0,,0,,4,,,,12,,,6,0,,22,Other
2015,2,1,0,,0,,13,,0,,24,0,1,4,0,,46,Other
2016,0,2,0,1,0,0,42,,,,16,0,1,4,0,,68,Other
2017,14,0,,5,0,,44,,,,19,,1,5,1,,89,Other
2018,,,5,,4,,67,,,,17,,,4,3,,100,Other
2019,4,0,,1,1,,186,,,,31,,0,19,14,,256,Other
2020,8,0,0,,0,,124,,,,28,0,1,2,3,,166,Other
2021,2,0,,3,3,,53,,,,28,,0,2,2,0,93,Other
2022,3,54,2,116,1,0,27,,,,14,,0,2,3,,222,Other
2023,9,44,1,156,2,,31,,,,15,,0,6,2,,266,Other
2024,4,33,1,47,1,,8,,,,11,,,4,1,,110,Other
